generation,averageFitness,topFitness
0,11.5,800
1,349.5,1400
2,290,900
3,218.5,1300
4,1049.5,2400
5,883.5,2050
6,587.5,1750
7,100,1150
8,142.5,1600
9,390.5,1550
10,351,1300
11,391.5,1800
12,289,1750
13,536.5,1400
14,297,1000
15,695.5,1650
16,375,1100
17,571,1850
18,747,1800
19,490.5,2000
20,991.5,2250
21,1070,2150
22,591.5,1750
23,769.5,1800
24,1061.5,2250
25,1020,2050
26,1311,2350
27,1303,2200
28,878,2550
29,1249.5,2100
30,634,1900
31,448.5,1850
32,1179.5,2300
33,1138.5,2100
34,822.5,2150
35,1542.5,2500
36,1187.5,2250
37,1621,2450
38,1072,2350
39,1065.5,2500
