generation,averageFitness,topFitness
0,91.5,2000
1,100.5,1000
2,555.5,2050
3,57,800
4,711,1900
5,629,2300
6,518.5,1700
7,470,1850
8,961,2450
9,1316.5,2250
10,1572,2550
11,1287,2200
12,719,1950
13,1212.5,2800
14,1137.5,2100
15,792.5,1850
16,786.5,2300
17,1526,2700
18,1418.5,2300
19,1335,2700
20,1479.5,2450
21,1144,2600
22,1268,2450
23,988.5,2150
24,1367.5,2400
25,1265.5,2300
26,1016,1800
27,1189.5,2350
28,973.5,2250
29,1349.5,2250
30,1152.5,2050
31,1483,2450
32,1679,2450
33,1058,2550
34,1715,2800
35,1230,2300
36,1770.5,2850
37,1385,2350
38,1694,2650
