generation,averageFitness,topFitness
0,615.5,1650
1,379,1700
2,520,1900
3,48,600
4,0,0
5,139,1700
6,150.5,700
7,0,0
8,3,100
9,678.5,1300
10,51,850
11,0,0
12,404.5,2000
13,26.5,850
